,Important Words,Coefficient_0,Coefficient_4,Coefficient_10,Coefficient_100,Coefficient_1000,Coefficient_100000
102,item,-0.318734744401884,-0.3163360459788083,-0.3128055286832256,-0.26816817080541583,-0.11945250629413273,-0.002457425053265709
103,hard,-0.30836990675868203,-0.3059411631676307,-0.3023634838138254,-0.25682042371224045,-0.10399189712939107,-0.001902181805871472
104,plastic,-0.28679746772825204,-0.28457784674830916,-0.2813112990630372,-0.24006124783859528,-0.10410312921521252,-0.00215413773984239
105,however,-0.22458297237573902,-0.2225005389834728,-0.21943035951866827,-0.1801269827015765,-0.05509545558289864,-0.0007604279281610058
106,disappointed,-0.9554366281707273,-0.946979918258718,-0.9345184199406324,-0.775625136545788,-0.26609518179599084,-0.00401339657882339
107,reviews,-0.25048572084934395,-0.24860302935371512,-0.24583145832058842,-0.21073397961554657,-0.09392340612331185,-0.0021532055521237266
108,something,-0.29000308511756406,-0.2876464215504154,-0.2841754653311396,-0.24006993378284766,-0.09522261642376917,-0.0018207382858990702
109,going,-0.18941980928717864,-0.1879587859626204,-0.18580761691199618,-0.1585349285376213,-0.06848997167699462,-0.001604227010426013
110,pump,0.07030448133155891,0.06945035349039001,0.0681923594788735,0.05222275062950647,0.002413976402916102,-0.0013874656673073913
111,bottle,-0.027069664194765773,-0.027014079529063532,-0.026931608026052115,-0.025796164516218963,-0.01838628194813435,-0.0008059942281321782
112,cup,-0.22276152213312148,-0.2210591520964623,-0.218552217199868,-0.18671218110523524,-0.07919210134903805,-0.00142916440971135
113,waste,-0.6178091779812257,-0.612474509202332,-0.6046202518853265,-0.5051887579435835,-0.1906306530215114,-0.0033449007794990574
114,return,-0.7420849546350397,-0.7355024007212443,-0.7258065666864305,-0.6026463562873889,-0.2151985237857179,-0.003729690924727013
115,amazon,-0.05184425095636958,-0.05140382476985135,-0.050755115644810216,-0.042513107579565945,-0.016129448692052264,-0.0003120651011547612
116,different,-0.06955700535211826,-0.06908151281918758,-0.06838063676907238,-0.05940087873062987,-0.0276625498746128,-0.0007509424721642208
117,top,-0.08892716801042957,-0.08835885012808925,-0.08752207473009442,-0.07688928858401549,-0.038168218895676155,-0.0008782979954459523
118,want,-0.04875495931167624,-0.04838831959555822,-0.04784836082588262,-0.04099274066409928,-0.018530330043080037,-0.0006078056182045674
119,problem,-0.06740383307807224,-0.0669634832975344,-0.06631620715638288,-0.058216423061270735,-0.030982367625887346,-0.0009690578241108469
120,know,-0.0002824268394166251,-0.0004740319256253869,-0.0007563104957365584,-0.004322034994100202,-0.011954875648392552,-0.0006370532397458101
121,water,-0.07427989622598453,-0.0738587416856421,-0.07323888692219198,-0.06538315669687654,-0.03589568846076001,-0.0009367696948842843
122,try,-0.20050199977180852,-0.19895894236873848,-0.19668688312869578,-0.1678697765230209,-0.07233503427774944,-0.0016103505925213744
